========= before backward =========
Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor141                                             (128,)   512.00B
Tensor142                                             (128,)   512.00B
Tensor143                                             (128,)   512.00B
Tensor144                                             (128,)   512.00B
Tensor145                                             (128,)   512.00B
Tensor146                                             (128,)   512.00B
Tensor147                                             (128,)   512.00B
Tensor148                                             (128,)   512.00B
Tensor149                                             (128,)   512.00B
Tensor150                                             (128,)   512.00B
Tensor151                                             (128,)   512.00B
Tensor152                                             (128,)   512.00B
Tensor153                                             (128,)   512.00B
Tensor154                                             (128,)   512.00B
Tensor155                                             (128,)   512.00B
Tensor156                                             (128,)   512.00B
Tensor157                                             (128,)   512.00B
Tensor158                                             (256,)     1.00K
Tensor159                                             (256,)     1.00K
Tensor160                                             (256,)     1.00K
Tensor161                                             (256,)     1.00K
Tensor162                                             (256,)     1.00K
Tensor163                                             (256,)     1.00K
Tensor164                                             (256,)     1.00K
Tensor165                                             (256,)     1.00K
Tensor166                                             (256,)     1.00K
Tensor167                                             (256,)     1.00K
Tensor168                                             (256,)     1.00K
Tensor169                                             (256,)     1.00K
Tensor170                                             (256,)     1.00K
Tensor171                                             (256,)     1.00K
Tensor172                                             (256,)     1.00K
Tensor173                                             (256,)     1.00K
Tensor174                                             (256,)     1.00K
Tensor175                                             (256,)     1.00K
Tensor176                                             (256,)     1.00K
Tensor177                                             (256,)     1.00K
Tensor178                                             (256,)     1.00K
Tensor179                                             (256,)     1.00K
Tensor180                                             (256,)     1.00K
Tensor181                                             (256,)     1.00K
Tensor182                                             (256,)     1.00K
Tensor183                                             (256,)     1.00K
Tensor184                                             (256,)     1.00K
Tensor185                                             (256,)     1.00K
Tensor186                                             (256,)     1.00K
Tensor187                                             (256,)     1.00K
Tensor188                                             (256,)     1.00K
Tensor189                                             (256,)     1.00K
Tensor190                                             (256,)     1.00K
Tensor191                                             (256,)     1.00K
Tensor192                                             (256,)     1.00K
Tensor193                                             (256,)     1.00K
Tensor194                                             (256,)     1.00K
Tensor195                                             (256,)     1.00K
Tensor196                                             (256,)     1.00K
Tensor197                                             (256,)     1.00K
Tensor198                                             (256,)     1.00K
Tensor199                                             (256,)     1.00K
Tensor200                                             (256,)     1.00K
Tensor201                                             (256,)     1.00K
Tensor202                                             (256,)     1.00K
Tensor203                                             (256,)     1.00K
Tensor204                                             (256,)     1.00K
Tensor205                                             (256,)     1.00K
Tensor206                                             (512,)     2.00K
Tensor207                                             (512,)     2.00K
Tensor208                                             (512,)     2.00K
Tensor209                                             (512,)     2.00K
Tensor210                                             (512,)     2.00K
Tensor211                                             (512,)     2.00K
Tensor212                                             (512,)     2.00K
Tensor213                                             (512,)     2.00K
Tensor214                                             (512,)     2.00K
Tensor215                                             (512,)     2.00K
Tensor216                                             (512,)     2.00K
Tensor217                                             (512,)     2.00K
Tensor218                                             (512,)     2.00K
Tensor219                                             (512,)     2.00K
Tensor220                                             (512,)     2.00K
Tensor221                                             (512,)     2.00K
Tensor222                                             (512,)     2.00K
Tensor223                                             (512,)     2.00K
Tensor224                                             (512,)     2.00K
Tensor225                                             (512,)     2.00K
Tensor226                                             (512,)     2.00K
Tensor227                                             (512,)     2.00K
Tensor228                                             (512,)     2.00K
Tensor229                                             (512,)     2.00K
Tensor230                                             (3, 4)   512.00B
Tensor231                                             (3, 4)   512.00B
Tensor232                                             (3, 4)   512.00B
Tensor233                                             (3, 4)   512.00B
Tensor234                                             (3, 4)   512.00B
Tensor235                                               (1,)   512.00B
Tensor236                                               (1,)   512.00B
Tensor237                                      (16, 3, 7, 7)     9.50K
Tensor238                                     (16, 16, 3, 3)     9.00K
Tensor239                                     (32, 16, 3, 3)    18.00K
Tensor240                                     (64, 32, 3, 3)    72.00K
Tensor241                                     (64, 64, 3, 3)   144.00K
Tensor242                                     (64, 64, 3, 3)   144.00K
Tensor243                                     (64, 64, 3, 3)   144.00K
Tensor244                                    (64, 128, 1, 1)    32.00K
Tensor245                                     (64, 32, 1, 1)     8.00K
Tensor246                                    (128, 64, 3, 3)   288.00K
Tensor247                                   (128, 128, 3, 3)   576.00K
Tensor248                                   (128, 128, 3, 3)   576.00K
Tensor249                                   (128, 128, 3, 3)   576.00K
Tensor250                                   (128, 256, 1, 1)   128.00K
Tensor251                                    (128, 64, 1, 1)    32.00K
Tensor252                                   (128, 128, 3, 3)   576.00K
Tensor253                                   (128, 128, 3, 3)   576.00K
Tensor254                                   (128, 128, 3, 3)   576.00K
Tensor255                                   (128, 128, 3, 3)   576.00K
Tensor256                                   (128, 448, 1, 1)   224.00K
Tensor257                                   (256, 128, 3, 3)     1.12M
Tensor258                                   (256, 256, 3, 3)     2.25M
Tensor259                                   (256, 256, 3, 3)     2.25M
Tensor260                                   (256, 256, 3, 3)     2.25M
Tensor261                                   (256, 512, 1, 1)   512.00K
Tensor262                                   (256, 128, 1, 1)   128.00K
Tensor263                                   (256, 256, 3, 3)     2.25M
Tensor264                                   (256, 256, 3, 3)     2.25M
Tensor265                                   (256, 256, 3, 3)     2.25M
Tensor266                                   (256, 256, 3, 3)     2.25M
Tensor267                                   (256, 896, 1, 1)   896.00K
Tensor268                                   (512, 256, 3, 3)     4.50M
Tensor269                                   (512, 512, 3, 3)     9.00M
Tensor270                                   (512, 512, 3, 3)     9.00M
Tensor271                                   (512, 512, 3, 3)     9.00M
Tensor272                                  (512, 1280, 1, 1)     2.50M
Tensor273                                   (512, 256, 1, 1)   512.00K
Tensor274                                    (128, 64, 1, 1)    32.00K
Tensor275                                             (128,)   512.00B
Tensor276                                   (128, 128, 3, 3)   576.00K
Tensor277                                             (128,)   512.00B
Tensor278                                   (128, 128, 1, 1)    64.00K
Tensor279                                             (128,)   512.00B
Tensor280                                   (128, 128, 3, 3)   576.00K
Tensor281                                             (128,)   512.00B
Tensor282                                   (128, 256, 1, 1)   128.00K
Tensor283                                             (128,)   512.00B
Tensor284                                   (128, 128, 3, 3)   576.00K
Tensor285                                             (128,)   512.00B
Tensor286                                   (128, 512, 1, 1)   256.00K
Tensor287                                             (128,)   512.00B
Tensor288                                   (128, 128, 3, 3)   576.00K
Tensor289                                             (128,)   512.00B
Tensor290                                   (128, 128, 3, 3)   576.00K
Tensor291                                             (128,)   512.00B
Tensor292                                     (3, 128, 1, 1)     1.50K
Tensor293                                               (3,)   512.00B
Tensor294                                    (12, 128, 1, 1)     6.00K
Tensor295                                              (12,)   512.00B
Tensor296                                       (1024, 6272)    24.50M
Tensor297                                            (1024,)     4.00K
Tensor298                                       (1024, 1024)     4.00M
Tensor299                                            (1024,)     4.00K
Tensor300                                          (2, 1024)     8.00K
Tensor301                                               (2,)   512.00B
Tensor302                                          (8, 1024)    32.00K
Tensor303                                               (8,)   512.00B
Tensor304                                   (128, 128, 3, 3)   576.00K
Tensor305                                             (128,)   512.00B
Tensor306                                             (128,)   512.00B
Tensor307                                   (128, 128, 3, 3)   576.00K
Tensor308                                             (128,)   512.00B
Tensor309                                             (128,)   512.00B
Tensor310                                     (2, 128, 3, 3)     9.00K
Tensor311                                               (2,)   512.00B
Tensor312                                     (1, 128, 3, 3)     4.50K
Tensor313                                               (1,)   512.00B
Tensor314                                     (4, 128, 3, 3)    18.00K
Tensor315                                               (4,)   512.00B
roi_heads.box.feature_extractor.fc6.weight        (1024, 6272)    24.50M
roi_heads.box.feature_extractor.fc6.weight.grad        (1024, 6272)    24.50M
roi_heads.box.feature_extractor.fc6.bias             (1024,)     4.00K
roi_heads.box.feature_extractor.fc6.bias.grad             (1024,)     4.00K
roi_heads.box.feature_extractor.fc7.weight        (1024, 1024)     4.00M
roi_heads.box.feature_extractor.fc7.weight.grad        (1024, 1024)     4.00M
roi_heads.box.feature_extractor.fc7.bias             (1024,)     4.00K
roi_heads.box.feature_extractor.fc7.bias.grad             (1024,)     4.00K
roi_heads.box.predictor.cls_score.weight           (2, 1024)     8.00K
roi_heads.box.predictor.cls_score.weight.grad           (2, 1024)     8.00K
roi_heads.box.predictor.cls_score.bias                  (2,)   512.00B
roi_heads.box.predictor.cls_score.bias.grad                (2,)   512.00B
roi_heads.box.predictor.bbox_pred.weight           (8, 1024)    32.00K
roi_heads.box.predictor.bbox_pred.weight.grad           (8, 1024)    32.00K
roi_heads.box.predictor.bbox_pred.bias                  (8,)   512.00B
roi_heads.box.predictor.bbox_pred.bias.grad                (8,)   512.00B
roi_heads.track.tracker.predictor.cls_tower.0.weight    (128, 128, 3, 3)   576.00K
roi_heads.track.tracker.predictor.cls_tower.0.weight.grad    (128, 128, 3, 3)   576.00K
roi_heads.track.tracker.predictor.cls_tower.1.weight              (128,)   512.00B
roi_heads.track.tracker.predictor.cls_tower.1.weight.grad              (128,)   512.00B
roi_heads.track.tracker.predictor.cls_tower.1.bias              (128,)   512.00B
roi_heads.track.tracker.predictor.cls_tower.1.bias.grad              (128,)   512.00B
roi_heads.track.tracker.predictor.reg_tower.0.weight    (128, 128, 3, 3)   576.00K
roi_heads.track.tracker.predictor.reg_tower.0.weight.grad    (128, 128, 3, 3)   576.00K
roi_heads.track.tracker.predictor.reg_tower.1.weight              (128,)   512.00B
roi_heads.track.tracker.predictor.reg_tower.1.weight.grad              (128,)   512.00B
roi_heads.track.tracker.predictor.reg_tower.1.bias              (128,)   512.00B
roi_heads.track.tracker.predictor.reg_tower.1.bias.grad              (128,)   512.00B
roi_heads.track.tracker.predictor.cls.weight      (2, 128, 3, 3)     9.00K
roi_heads.track.tracker.predictor.cls.weight.grad      (2, 128, 3, 3)     9.00K
roi_heads.track.tracker.predictor.cls.bias                (2,)   512.00B
roi_heads.track.tracker.predictor.cls.bias.grad                (2,)   512.00B
roi_heads.track.tracker.predictor.center.weight      (1, 128, 3, 3)     4.50K
roi_heads.track.tracker.predictor.center.weight.grad      (1, 128, 3, 3)     4.50K
roi_heads.track.tracker.predictor.center.bias                (1,)   512.00B
roi_heads.track.tracker.predictor.center.bias.grad                (1,)   512.00B
roi_heads.track.tracker.predictor.reg.weight      (4, 128, 3, 3)    18.00K
roi_heads.track.tracker.predictor.reg.weight.grad      (4, 128, 3, 3)    18.00K
roi_heads.track.tracker.predictor.reg.bias                (4,)   512.00B
roi_heads.track.tracker.predictor.reg.bias.grad                (4,)   512.00B
Parameter316                                         (2048,)     8.00K
Parameter317                                         (2048,)     8.00K
Tensor318                                            (2048,)     8.00K
Tensor319                                            (2048,)     8.00K
Tensor320                                               (1,)   512.00B
Parameter321                                     (575, 2048)     4.49M
Parameter322                                   (64, 3, 7, 7)    37.00K
Parameter323                                           (64,)   512.00B
Parameter324                                           (64,)   512.00B
Tensor325                                              (64,)   512.00B
Tensor326                                              (64,)   512.00B
Tensor327                                               (1,)   512.00B
Parameter328                                  (64, 64, 1, 1)    16.00K
Parameter329                                           (64,)   512.00B
Parameter330                                           (64,)   512.00B
Tensor331                                              (64,)   512.00B
Tensor332                                              (64,)   512.00B
Tensor333                                               (1,)   512.00B
Parameter334                                  (64, 64, 3, 3)   144.00K
Parameter335                                           (64,)   512.00B
Parameter336                                           (64,)   512.00B
Tensor337                                              (64,)   512.00B
Tensor338                                              (64,)   512.00B
Tensor339                                               (1,)   512.00B
Parameter340                                 (256, 64, 1, 1)    64.00K
Parameter341                                          (256,)     1.00K
Parameter342                                          (256,)     1.00K
Tensor343                                             (256,)     1.00K
Tensor344                                             (256,)     1.00K
Tensor345                                               (1,)   512.00B
Parameter346                                 (64, 256, 1, 1)    64.00K
Parameter347                                           (64,)   512.00B
Parameter348                                           (64,)   512.00B
Tensor349                                              (64,)   512.00B
Tensor350                                              (64,)   512.00B
Tensor351                                               (1,)   512.00B
Parameter352                                  (64, 64, 3, 3)   144.00K
