========= before backward =========
Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
backbone.body.level3.tree1.root.conv.weight.grad    (128, 256, 1, 1)   128.00K
backbone.body.level3.tree1.project.0.weight     (128, 64, 1, 1)    32.00K
backbone.body.level3.tree1.project.0.weight.grad     (128, 64, 1, 1)    32.00K
backbone.body.level3.tree2.tree1.conv1.weight    (128, 128, 3, 3)   576.00K
backbone.body.level3.tree2.tree1.conv1.weight.grad    (128, 128, 3, 3)   576.00K
backbone.body.level3.tree2.tree1.conv2.weight    (128, 128, 3, 3)   576.00K
backbone.body.level3.tree2.tree1.conv2.weight.grad    (128, 128, 3, 3)   576.00K
backbone.body.level3.tree2.tree2.conv1.weight    (128, 128, 3, 3)   576.00K
backbone.body.level3.tree2.tree2.conv1.weight.grad    (128, 128, 3, 3)   576.00K
backbone.body.level3.tree2.tree2.conv2.weight    (128, 128, 3, 3)   576.00K
backbone.body.level3.tree2.tree2.conv2.weight.grad    (128, 128, 3, 3)   576.00K
backbone.body.level3.tree2.root.conv.weight    (128, 448, 1, 1)   224.00K
backbone.body.level3.tree2.root.conv.weight.grad    (128, 448, 1, 1)   224.00K
backbone.body.level4.tree1.tree1.conv1.weight    (256, 128, 3, 3)     1.12M
backbone.body.level4.tree1.tree1.conv1.weight.grad    (256, 128, 3, 3)     1.12M
backbone.body.level4.tree1.tree1.conv2.weight    (256, 256, 3, 3)     2.25M
backbone.body.level4.tree1.tree1.conv2.weight.grad    (256, 256, 3, 3)     2.25M
backbone.body.level4.tree1.tree2.conv1.weight    (256, 256, 3, 3)     2.25M
backbone.body.level4.tree1.tree2.conv1.weight.grad    (256, 256, 3, 3)     2.25M
backbone.body.level4.tree1.tree2.conv2.weight    (256, 256, 3, 3)     2.25M
backbone.body.level4.tree1.tree2.conv2.weight.grad    (256, 256, 3, 3)     2.25M
backbone.body.level4.tree1.root.conv.weight    (256, 512, 1, 1)   512.00K
backbone.body.level4.tree1.root.conv.weight.grad    (256, 512, 1, 1)   512.00K
backbone.body.level4.tree1.project.0.weight    (256, 128, 1, 1)   128.00K
backbone.body.level4.tree1.project.0.weight.grad    (256, 128, 1, 1)   128.00K
backbone.body.level4.tree2.tree1.conv1.weight    (256, 256, 3, 3)     2.25M
backbone.body.level4.tree2.tree1.conv1.weight.grad    (256, 256, 3, 3)     2.25M
backbone.body.level4.tree2.tree1.conv2.weight    (256, 256, 3, 3)     2.25M
backbone.body.level4.tree2.tree1.conv2.weight.grad    (256, 256, 3, 3)     2.25M
backbone.body.level4.tree2.tree2.conv1.weight    (256, 256, 3, 3)     2.25M
backbone.body.level4.tree2.tree2.conv1.weight.grad    (256, 256, 3, 3)     2.25M
backbone.body.level4.tree2.tree2.conv2.weight    (256, 256, 3, 3)     2.25M
backbone.body.level4.tree2.tree2.conv2.weight.grad    (256, 256, 3, 3)     2.25M
backbone.body.level4.tree2.root.conv.weight    (256, 896, 1, 1)   896.00K
backbone.body.level4.tree2.root.conv.weight.grad    (256, 896, 1, 1)   896.00K
Tensor74                                               (16,)   512.00B
Tensor75                                               (16,)   512.00B
Tensor76                                               (16,)   512.00B
Tensor77                                               (16,)   512.00B
Tensor78                                               (16,)   512.00B
Tensor79                                               (16,)   512.00B
Tensor80                                               (16,)   512.00B
Tensor81                                               (16,)   512.00B
Tensor82                                               (32,)   512.00B
Tensor83                                               (32,)   512.00B
Tensor84                                               (32,)   512.00B
Tensor85                                               (32,)   512.00B
Tensor86                                               (64,)   512.00B
Tensor87                                               (64,)   512.00B
Tensor88                                               (64,)   512.00B
Tensor89                                               (64,)   512.00B
Tensor90                                               (64,)   512.00B
Tensor91                                               (64,)   512.00B
Tensor92                                               (64,)   512.00B
Tensor93                                               (64,)   512.00B
Tensor94                                               (64,)   512.00B
Tensor95                                               (64,)   512.00B
Tensor96                                               (64,)   512.00B
Tensor97                                               (64,)   512.00B
Tensor98                                               (64,)   512.00B
Tensor99                                               (64,)   512.00B
Tensor100                                              (64,)   512.00B
Tensor101                                              (64,)   512.00B
Tensor102                                              (64,)   512.00B
Tensor103                                              (64,)   512.00B
Tensor104                                              (64,)   512.00B
Tensor105                                              (64,)   512.00B
Tensor106                                              (64,)   512.00B
Tensor107                                              (64,)   512.00B
Tensor108                                              (64,)   512.00B
Tensor109                                              (64,)   512.00B
Tensor110                                             (128,)   512.00B
Tensor111                                             (128,)   512.00B
Tensor112                                             (128,)   512.00B
Tensor113                                             (128,)   512.00B
Tensor114                                             (128,)   512.00B
Tensor115                                             (128,)   512.00B
Tensor116                                             (128,)   512.00B
Tensor117                                             (128,)   512.00B
Tensor118                                             (128,)   512.00B
Tensor119                                             (128,)   512.00B
Tensor120                                             (128,)   512.00B
Tensor121                                             (128,)   512.00B
Tensor122                                             (128,)   512.00B
Tensor123                                             (128,)   512.00B
Tensor124                                             (128,)   512.00B
Tensor125                                             (128,)   512.00B
Tensor126                                             (128,)   512.00B
Tensor127                                             (128,)   512.00B
Tensor128                                             (128,)   512.00B
Tensor129                                             (128,)   512.00B
Tensor130                                             (128,)   512.00B
Tensor131                                             (128,)   512.00B
Tensor132                                             (128,)   512.00B
Tensor133                                             (128,)   512.00B
Tensor134                                             (128,)   512.00B
Tensor135                                             (128,)   512.00B
Tensor136                                             (128,)   512.00B
Tensor137                                             (128,)   512.00B
Tensor138                                             (128,)   512.00B
Tensor139                                             (128,)   512.00B
Tensor140                                             (128,)   512.00B
Tensor141                                             (128,)   512.00B
Tensor142                                             (128,)   512.00B
Tensor143                                             (128,)   512.00B
Tensor144                                             (128,)   512.00B
Tensor145                                             (128,)   512.00B
Tensor146                                             (128,)   512.00B
Tensor147                                             (128,)   512.00B
Tensor148                                             (128,)   512.00B
Tensor149                                             (128,)   512.00B
Tensor150                                             (128,)   512.00B
Tensor151                                             (128,)   512.00B
Tensor152                                             (128,)   512.00B
Tensor153                                             (128,)   512.00B
Tensor154                                             (128,)   512.00B
Tensor155                                             (128,)   512.00B
Tensor156                                             (128,)   512.00B
Tensor157                                             (128,)   512.00B
Tensor158                                             (256,)     1.00K
Tensor159                                             (256,)     1.00K
Tensor160                                             (256,)     1.00K
Tensor161                                             (256,)     1.00K
Tensor162                                             (256,)     1.00K
Tensor163                                             (256,)     1.00K
Tensor164                                             (256,)     1.00K
Tensor165                                             (256,)     1.00K
Tensor166                                             (256,)     1.00K
Tensor167                                             (256,)     1.00K
Tensor168                                             (256,)     1.00K
Tensor169                                             (256,)     1.00K
Tensor170                                             (256,)     1.00K
Tensor171                                             (256,)     1.00K
Tensor172                                             (256,)     1.00K
Tensor173                                             (256,)     1.00K
Tensor174                                             (256,)     1.00K
Tensor175                                             (256,)     1.00K
Tensor176                                             (256,)     1.00K
Tensor177                                             (256,)     1.00K
Tensor178                                             (256,)     1.00K
Tensor179                                             (256,)     1.00K
Tensor180                                             (256,)     1.00K
Tensor181                                             (256,)     1.00K
Tensor182                                             (256,)     1.00K
Tensor183                                             (256,)     1.00K
Tensor184                                             (256,)     1.00K
Tensor185                                             (256,)     1.00K
Tensor186                                             (256,)     1.00K
Tensor187                                             (256,)     1.00K
Tensor188                                             (256,)     1.00K
Tensor189                                             (256,)     1.00K
Tensor190                                             (256,)     1.00K
Tensor191                                             (256,)     1.00K
Tensor192                                             (256,)     1.00K
Tensor193                                             (256,)     1.00K
Tensor194                                             (256,)     1.00K
Tensor195                                             (256,)     1.00K
Tensor196                                             (256,)     1.00K
Tensor197                                             (256,)     1.00K
Tensor198                                             (256,)     1.00K
Tensor199                                             (256,)     1.00K
Tensor200                                             (256,)     1.00K
Tensor201                                             (256,)     1.00K
Tensor202                                             (256,)     1.00K
Tensor203                                             (256,)     1.00K
Tensor204                                             (256,)     1.00K
Tensor205                                             (256,)     1.00K
Tensor206                                             (512,)     2.00K
Tensor207                                             (512,)     2.00K
Tensor208                                             (512,)     2.00K
Tensor209                                             (512,)     2.00K
Tensor210                                             (512,)     2.00K
Tensor211                                             (512,)     2.00K
Tensor212                                             (512,)     2.00K
Tensor213                                             (512,)     2.00K
Tensor214                                             (512,)     2.00K
Tensor215                                             (512,)     2.00K
Tensor216                                             (512,)     2.00K
Tensor217                                             (512,)     2.00K
Tensor218                                             (512,)     2.00K
Tensor219                                             (512,)     2.00K
Tensor220                                             (512,)     2.00K
Tensor221                                             (512,)     2.00K
Tensor222                                             (512,)     2.00K
Tensor223                                             (512,)     2.00K
Tensor224                                             (512,)     2.00K
Tensor225                                             (512,)     2.00K
Tensor226                                             (512,)     2.00K
Tensor227                                             (512,)     2.00K
Tensor228                                             (512,)     2.00K
Tensor229                                             (512,)     2.00K
Tensor230                                             (3, 4)   512.00B
Tensor231                                             (3, 4)   512.00B
Tensor232                                             (3, 4)   512.00B
Tensor233                                             (3, 4)   512.00B
Tensor234                                             (3, 4)   512.00B
Tensor235                                               (1,)   512.00B
Tensor236                                               (1,)   512.00B
roi_heads.track.tracker.predictor.reg.bias                (4,)   512.00B
roi_heads.track.tracker.predictor.reg.bias.grad                (4,)   512.00B
roi_heads.track.tracker.predictor.reg.weight      (4, 128, 3, 3)    18.00K
roi_heads.track.tracker.predictor.reg.weight.grad      (4, 128, 3, 3)    18.00K
roi_heads.track.tracker.predictor.center.bias                (1,)   512.00B
roi_heads.track.tracker.predictor.center.bias.grad                (1,)   512.00B
roi_heads.track.tracker.predictor.center.weight      (1, 128, 3, 3)     4.50K
roi_heads.track.tracker.predictor.center.weight.grad      (1, 128, 3, 3)     4.50K
roi_heads.track.tracker.predictor.cls.bias                (2,)   512.00B
roi_heads.track.tracker.predictor.cls.bias.grad                (2,)   512.00B
roi_heads.track.tracker.predictor.cls.weight      (2, 128, 3, 3)     9.00K
roi_heads.track.tracker.predictor.cls.weight.grad      (2, 128, 3, 3)     9.00K
roi_heads.track.tracker.predictor.reg_tower.1.bias              (128,)   512.00B
roi_heads.track.tracker.predictor.reg_tower.1.bias.grad              (128,)   512.00B
roi_heads.track.tracker.predictor.reg_tower.1.weight              (128,)   512.00B
roi_heads.track.tracker.predictor.reg_tower.1.weight.grad              (128,)   512.00B
roi_heads.track.tracker.predictor.reg_tower.0.weight    (128, 128, 3, 3)   576.00K
roi_heads.track.tracker.predictor.reg_tower.0.weight.grad    (128, 128, 3, 3)   576.00K
roi_heads.track.tracker.predictor.cls_tower.1.bias              (128,)   512.00B
roi_heads.track.tracker.predictor.cls_tower.1.bias.grad              (128,)   512.00B
roi_heads.track.tracker.predictor.cls_tower.1.weight              (128,)   512.00B
roi_heads.track.tracker.predictor.cls_tower.1.weight.grad              (128,)   512.00B
roi_heads.track.tracker.predictor.cls_tower.0.weight    (128, 128, 3, 3)   576.00K
roi_heads.track.tracker.predictor.cls_tower.0.weight.grad    (128, 128, 3, 3)   576.00K
roi_heads.box.predictor.bbox_pred.bias                  (8,)   512.00B
roi_heads.box.predictor.bbox_pred.bias.grad                (8,)   512.00B
roi_heads.box.predictor.bbox_pred.weight           (8, 1024)    32.00K
roi_heads.box.predictor.bbox_pred.weight.grad           (8, 1024)    32.00K
roi_heads.box.predictor.cls_score.bias                  (2,)   512.00B
roi_heads.box.predictor.cls_score.bias.grad                (2,)   512.00B
roi_heads.box.predictor.cls_score.weight           (2, 1024)     8.00K
roi_heads.box.predictor.cls_score.weight.grad           (2, 1024)     8.00K
roi_heads.box.feature_extractor.fc7.bias             (1024,)     4.00K
roi_heads.box.feature_extractor.fc7.bias.grad             (1024,)     4.00K
roi_heads.box.feature_extractor.fc7.weight        (1024, 1024)     4.00M
roi_heads.box.feature_extractor.fc7.weight.grad        (1024, 1024)     4.00M
roi_heads.box.feature_extractor.fc6.bias             (1024,)     4.00K
